type,price_group,currency,effective_from,price_hourly,price_monthly
cax11,eu,eur,2023-04-01,0.0053,3.29
cax11,eu,eur,2026-04-01,0.0072,4.49
cax11,eu,usd,2023-04-01,0.0064,3.99
cax11,eu,usd,2026-04-01,0.0088,5.49
cax21,eu,eur,2023-04-01,0.0096,5.99
cax21,eu,eur,2026-04-01,0.0128,7.99
cax21,eu,usd,2023-04-01,0.0112,6.99
cax21,eu,usd,2026-04-01,0.0152,9.49
cax31,eu,eur,2023-04-01,0.0192,11.99
cax31,eu,eur,2026-04-01,0.0256,15.99
cax31,eu,usd,2023-04-01,0.0216,13.49
cax31,eu,usd,2026-04-01,0.0296,18.49
cax41,eu,eur,2023-04-01,0.0384,23.99
cax41,eu,eur,2026-04-01,0.0505,31.49
cax41,eu,usd,2023-04-01,0.0433,26.99
cax41,eu,usd,2026-04-01,0.0593,36.99
ccx13,eu,eur,2022-01-01,0.0192,11.99
ccx13,eu,eur,2026-04-01,0.0256,15.99
ccx13,eu,usd,2022-01-01,0.0216,13.49
ccx13,eu,usd,2026-04-01,0.0296,18.49
ccx13,sin,eur,2022-01-01,0.0337,21.00
ccx13,sin,eur,2026-04-01,0.0441,27.49
ccx13,sin,usd,2022-01-01,0.0376,23.49
ccx13,sin,usd,2026-04-01,0.0521,32.49
ccx13,usa,eur,2022-01-01,0.0209,12.99
ccx13,usa,eur,2026-04-01,0.0272,16.99
ccx13,usa,usd,2022-01-01,0.0232,14.49
ccx13,usa,usd,2026-04-01,0.0320,19.99
ccx23,eu,eur,2022-01-01,0.0384,23.99
ccx23,eu,eur,2026-04-01,0.0505,31.49
ccx23,eu,usd,2022-01-01,0.0433,26.99
ccx23,eu,usd,2026-04-01,0.0593,36.99
ccx23,sin,eur,2022-01-01,0.0631,39.40
ccx23,sin,eur,2026-04-01,0.0825,51.49
ccx23,sin,usd,2022-01-01,0.0705,43.99
ccx23,sin,usd,2026-04-01,0.0969,60.49
ccx23,usa,eur,2022-01-01,0.0417,25.99
ccx23,usa,eur,2026-04-01,0.0545,33.99
ccx23,usa,usd,2022-01-01,0.0465,28.99
ccx23,usa,usd,2026-04-01,0.0641,39.99
ccx33,eu,eur,2022-01-01,0.0769,47.99
ccx33,eu,eur,2026-04-01,0.1001,62.49
ccx33,eu,usd,2022-01-01,0.0857,53.49
ccx33,eu,usd,2026-04-01,0.1186,73.99
ccx33,sin,eur,2022-01-01,0.1192,74.40
ccx33,sin,eur,2026-04-01,0.1554,96.99
ccx33,sin,usd,2022-01-01,0.1330,82.99
ccx33,sin,usd,2026-04-01,0.1835,114.49
ccx33,usa,eur,2022-01-01,0.0802,49.99
ccx33,usa,eur,2026-04-01,0.1042,64.99
ccx33,usa,usd,2022-01-01,0.0889,55.49
ccx33,usa,usd,2026-04-01,0.1234,76.99
ccx43,eu,eur,2022-01-01,0.1538,95.99
ccx43,eu,eur,2026-04-01,0.2003,124.99
ccx43,eu,usd,2022-01-01,0.1715,106.99
ccx43,eu,usd,2026-04-01,0.2364,147.49
ccx43,sin,eur,2022-01-01,0.2196,137.00
ccx43,sin,eur,2026-04-01,0.2860,178.49
ccx43,sin,usd,2022-01-01,0.2444,152.49
ccx43,sin,usd,2026-04-01,0.3373,210.49
ccx43,usa,eur,2022-01-01,0.1603,99.99
ccx43,usa,eur,2026-04-01,0.2083,129.99
ccx43,usa,usd,2022-01-01,0.1779,110.99
ccx43,usa,usd,2026-04-01,0.2460,153.49
ccx53,eu,eur,2022-01-01,0.3077,191.99
ccx53,eu,eur,2026-04-01,0.4006,249.99
ccx53,eu,usd,2022-01-01,0.3421,213.49
ccx53,eu,usd,2026-04-01,0.4727,294.99
ccx53,sin,eur,2022-01-01,0.4712,294.00
ccx53,sin,eur,2026-04-01,0.6130,382.49
ccx53,sin,usd,2022-01-01,0.5232,326.49
ccx53,sin,usd,2026-04-01,0.7235,451.49
ccx53,usa,eur,2022-01-01,0.3205,199.99
ccx53,usa,eur,2026-04-01,0.4167,259.99
ccx53,usa,usd,2022-01-01,0.3558,221.99
ccx53,usa,usd,2026-04-01,0.4920,306.99
ccx63,eu,eur,2022-01-01,0.4615,287.99
ccx63,eu,eur,2026-04-01,0.6001,374.49
ccx63,eu,usd,2022-01-01,0.5128,319.99
ccx63,eu,usd,2026-04-01,0.7083,441.99
ccx63,sin,eur,2022-01-01,0.7724,482.00
ccx63,sin,eur,2026-04-01,1.0048,626.99
ccx63,sin,usd,2022-01-01,0.8582,535.49
ccx63,sin,usd,2026-04-01,1.1851,739.49
ccx63,usa,eur,2022-01-01,0.4808,299.99
ccx63,usa,eur,2026-04-01,0.6250,389.99
ccx63,usa,usd,2022-01-01,0.5336,332.99
ccx63,usa,usd,2026-04-01,0.7380,460.49
cpx11,usa,eur,2021-01-01,0.0072,4.49
cpx11,usa,eur,2026-04-01,0.0096,5.99
cpx11,usa,usd,2021-01-01,0.0080,4.99
cpx11,usa,usd,2026-04-01,0.0112,6.99
cpx12,sin,eur,2025-10-01,0.0096,5.99
cpx12,sin,eur,2026-04-01,0.0128,7.99
cpx12,sin,usd,2025-10-01,0.0112,6.99
cpx12,sin,usd,2026-04-01,0.0152,9.49
cpx21,usa,eur,2021-01-01,0.0145,8.99
cpx21,usa,eur,2026-04-01,0.0192,11.99
cpx21,usa,usd,2021-01-01,0.0160,9.99
cpx21,usa,usd,2026-04-01,0.0224,13.99
